% x(m) y(m) incident_basis(1/m^2)
-0.025000000000000001 -0.025000000000000001 3.8629343829457605e-12
-0.024500000000000001 -0.025000000000000001 9.3735664558280896e-12
-0.024 -0.025000000000000001 2.2289142455147121e-11
-0.0235 -0.025000000000000001 5.1936852410098139e-11
-0.023 -0.025000000000000001 1.1858923939500747e-10
-0.022500000000000003 -0.025000000000000001 2.6533631327299253e-10
-0.022000000000000002 -0.025000000000000001 5.8173456123275043e-10
-0.021500000000000002 -0.025000000000000001 1.2497565666757671e-09
-0.021000000000000001 -0.025000000000000001 2.6308405761151434e-09
-0.020500000000000001 -0.025000000000000001 5.4266127434645248e-09
-0.02 -0.025000000000000001 1.0967949224939798e-08
-0.0195 -0.025000000000000001 2.1721102597613434e-08
-0.019 -0.025000000000000001 4.2149854011620184e-08
-0.018500000000000003 -0.025000000000000001 8.0143145767960319e-08
-0.018000000000000002 -0.025000000000000001 1.4931090295280949e-07
-0.017500000000000002 -0.025000000000000001 2.7256532913622376e-07
-0.017000000000000001 -0.025000000000000001 4.875320965138707e-07
-0.016500000000000001 -0.025000000000000001 8.5445531109479784e-07
-0.016 -0.025000000000000001 1.4673360903348842e-06
-0.0155 -0.025000000000000001 2.4690230140320554e-06
-0.015000000000000001 -0.025000000000000001 4.0707825019242434e-06
-0.014500000000000001 -0.025000000000000001 6.576437728270654e-06
-0.014 -0.025000000000000001 1.0410402319759422e-05
-0.0135 -0.025000000000000001 1.6147809368297423e-05
-0.012999999999999999 -0.025000000000000001 2.4543474462769033e-05
-0.012500000000000001 -0.025000000000000001 3.6554764849188923e-05
-0.012 -0.025000000000000001 5.3351838534058377e-05
-0.0115 -0.025000000000000001 7.6307566071732077e-05
-0.010999999999999999 -0.025000000000000001 0.00010695925403276137
-0.010499999999999999 -0.025000000000000001 0.00014693556993689987
-0.010000000000000002 -0.025000000000000001 0.00019784522511851266
-0.0095000000000000015 -0.025000000000000001 0.0002611291260017794
-0.0090000000000000011 -0.025000000000000001 0.000337884538727529
-0.0085000000000000006 -0.025000000000000001 0.00042867747140632194
-0.0080000000000000002 -0.025000000000000001 0.00053336658155930404
-0.0074999999999999997 -0.025000000000000001 0.00065096672597754837
-0.0069999999999999993 -0.025000000000000001 0.0007795810229527339
-0.0064999999999999988 -0.025000000000000001 0.00091642565376772193
