case,producer,L_m,p_center_W_each,p_ring1_W_each,p_ring2_W_each,emitted_W,incident_W,absorbed_W,ROI_absorbed_W,optical_not_intercepted_W,unabsorbed_incident_W,bottom_heat_out_W,storage_rate_W,balance_residual_W,ROI_mean_T_K,ROI_mean_rise_K,ROI_std_K,ROI_min_rise_K,ROI_max_rise_K,ROI_CV,ROI_CV_status,ROI_area_m2,dataset,solution,time_s,native_version,physical_validation
11,f337bd49-9b63-410f-8c39-95a1d068967a,0.02,0.6,0.75,0.6681818181818181,12.45,12.438444737387464,7.46306684243247,6.634361660589386,0.0115552626125357,4.975377894954994,7.4630667338391286,1.684270634093005e-07,-5.98337219790929e-08,313.91762192497225,13.917621924972263,2.9743887714226758,7.185083544296674,19.143205622838934,0.21371386487268756,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
12,d198aba1-8ce3-45fb-bc99-a791efdf7b75,0.02,0.6,0.85,0.6136363636363636,12.45,12.439390124824403,7.463634074894647,6.701259901268348,0.010609875175596528,4.975756049929756,7.46363643717042,-1.4039458462040844e-06,-9.583299270114875e-07,314.0998872847837,14.099887284783652,3.3111086885169554,7.185746667445699,20.115421002959295,0.23483228068711196,DEFINED,0.0007068583385082237,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
13,319ed8c7-a5f3-4cf6-9e85-e144934d6b2d,0.02,0.8,0.65,0.7045454545454544,12.45,12.437814311681864,7.462688587009122,6.590034814938662,0.01218568831813549,4.975125724672742,7.462688617685679,1.410769646576559e-07,-1.7175352106386205e-07,313.8131719953792,13.813171995379212,2.8230998150196123,7.161980081114393,18.968141458263915,0.20437737370996298,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
14,2bc4c34e-9ccd-4517-af50-191b5771c553,0.02,0.8,0.75,0.6499999999999999,12.45,12.438759699118837,7.463255819471279,6.656933055617603,0.011240300881162568,4.975503879647558,7.463258446345246,-1.4091647210745895e-06,-1.2177092461628968e-06,313.99543751389473,13.995437513894732,3.154931015486532,7.162643354217266,19.94260486274851,0.22542567978702363,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
15,5975876c-c913-465e-8e7d-c8c64912e423,0.02,0.8,0.85,0.5954545454545453,12.45,12.439705086555788,7.463823051933475,6.723831296296587,0.010294913444210962,4.975882034622313,7.463828399054094,-3.214317663516382e-06,-2.1328029556538162e-06,314.17770318933526,14.177703189335283,3.497215794075365,7.163306794742084,20.91953789312248,0.24667012331771992,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
16,be8eb996-340a-4395-b1e8-508cfbe6a9cf,0.02,1.0,0.65,0.6863636363636363,12.45,12.438129273413255,7.4628775640479414,6.612606209966889,0.011870726586744595,4.975251709365313,7.4628804166065175,-1.4763124964032438e-06,-1.3762460796131625e-06,313.89098769368337,13.890987693683359,3.0020863928165458,7.1395400022175295,19.773724878396877,0.21611756190538436,DEFINED,0.0007068583385082237,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
17,d43721f4-97cb-4265-9e41-21a80e435e05,0.02,1.0,0.75,0.6318181818181817,12.45,12.439074660850176,7.463444796510116,6.679504450645849,0.010925339149823188,4.9756298643400605,7.4634471378727545,-1.4016481722219484e-06,-9.397144666582361e-07,314.0732492792119,14.0732492792119,3.340164105889411,7.140199367995308,20.75065381816313,0.23734135874529608,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
18,aaeb10b0-a2c7-4034-802a-0ec27f475a88,0.02,1.0,0.85,0.5772727272727273,12.45,12.440020048287128,7.464012028972289,6.746402691324809,0.009979951712871582,4.976008019314839,7.4640165347762,-2.3125756828069587e-06,-2.193228228507429e-06,314.2555142511857,14.25551425118566,3.687017936920438,7.140862108090914,21.727586144925738,0.25863801697745004,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
19,bb7ea478-ad59-4b7f-bded-cec6be5878d0,0.03,0.6,0.65,0.7227272727272727,12.45,12.407609722999961,7.444565833799965,6.330965509766629,0.04239027700003817,4.963043889199996,7.444570359670492,-2.9912508459094452e-06,-1.5346196813294058e-06,313.51089153484816,13.510891534848156,2.582998494289469,7.389608173921658,17.907642491584284,0.19117898235118191,DEFINED,0.0007068583385082235,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
20,b58be265-5a07-4602-a870-99b65770cc4f,0.03,0.6,0.75,0.6681818181818181,12.45,12.410793514646569,7.4464761087879445,6.412343799216018,0.03920648535343041,4.964317405858624,7.446480060768252,-2.7813577387510484e-06,-1.1706225686973177e-06,313.69321479301703,13.693214793017015,2.8786015493069352,7.394924828810815,18.835329390389518,0.21022101769519497,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
21,2bd094ac-73a1-4856-bd9b-0de27c9dcb55,0.03,0.6,0.85,0.6136363636363636,12.45,12.413977306293182,7.448386383775895,6.49372208866538,0.03602269370681732,4.965590922517287,7.448393571369208,-4.307471386750847e-06,-2.8801219266671586e-06,313.8755428726141,13.875542872614142,3.1841323056817776,7.400246293235057,19.767791094465736,0.22947803447504966,DEFINED,0.0007068583385082237,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
22,cde63cac-19db-4499-9a01-dc49b903f513,0.03,0.8,0.65,0.7045454545454544,12.45,12.408674887037169,7.445204932222291,6.359104206760398,0.0413251129628307,4.963469954814878,7.4452092611771405,-3.025186145753652e-06,-1.3037687039435454e-06,313.5893746076737,13.589374607673665,2.7419975267269376,7.368269324974165,18.5771296633489,0.20177510782421018,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
23,6ebf4c76-80a3-462b-bdb8-1c3a5fef87d5,0.03,0.8,0.75,0.6499999999999999,12.45,12.411858678683773,7.447115207210266,6.440482496209784,0.038141321316226495,4.964743471473507,7.447122492414968,-4.023375861613839e-06,-3.261828840109719e-06,313.7717023337119,13.771702333711909,3.043628422377892,7.373590439392842,19.511188604519305,0.22100596924225985,DEFINED,0.0007068583385082237,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
24,1c359302-8c50-4344-9681-963b3c311c74,0.03,0.8,0.85,0.5954545454545453,12.45,12.415042470330384,7.449025482198213,6.52186078565914,0.034957529669615184,4.966016988132171,7.449032256541505,-4.167385422456461e-06,-2.606957870091763e-06,313.9540256716414,13.954025671641388,3.353607535355323,7.378907171431933,20.44731708314805,0.2403326190069166,DEFINED,0.0007068583385082237,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
25,2a6ef066-924c-42a3-9165-255899482ec3,0.03,1.0,0.65,0.6863636363636363,12.45,12.409740051074392,7.445844030644624,6.3872429037541725,0.04025994892560725,4.963896020429768,7.445848086264254,-2.9997554911949146e-06,-1.0558641391549236e-06,313.66785758378137,13.667857583781352,2.905398069976597,7.346930380087883,19.254581903266853,0.21257157913499336,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
26,deab64a4-b053-4514-a55e-698b82b14767,0.03,1.0,0.75,0.6318181818181817,12.45,12.412923842720978,7.44775430563259,6.46862119320355,0.037076157279020805,4.965169537088388,7.447761497258277,-4.29758185931659e-06,-2.894043827647597e-06,313.85018553731464,13.850185537314646,3.212027297070102,7.352251719036417,20.19205808183915,0.23191222156673494,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
27,4ebb6bdd-ee51-48c0-86b1-a20e7323d995,0.03,1.0,0.85,0.5772727272727273,12.45,12.416107634367595,7.44966458062056,6.549999482652929,0.033892365632404164,4.966443053747035,7.449670227835985,-3.1192656841131365e-06,-2.527949740951053e-06,314.03250756719405,14.032507567194019,3.5257320873846023,7.357567153597984,21.129712810615217,0.25125460082610296,DEFINED,0.0007068583385082235,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
