case,producer,L_m,p_center_W_each,p_ring1_W_each,p_ring2_W_each,emitted_W,incident_W,absorbed_W,ROI_absorbed_W,optical_not_intercepted_W,unabsorbed_incident_W,bottom_heat_out_W,storage_rate_W,balance_residual_W,ROI_mean_T_K,ROI_mean_rise_K,ROI_std_K,ROI_min_rise_K,ROI_max_rise_K,ROI_CV,ROI_CV_status,ROI_area_m2,dataset,solution,time_s,native_version,physical_validation
1,d1bf2729-c593-4e8c-8031-278ccac861c6,0.01,0.6,0.65,0.7227272727272727,12.45,12.448114094411084,7.468868456646649,6.824528623374729,0.0018859055889155485,4.979245637764435,7.468870624137709,-1.2697593182495648e-06,-8.977317421623542e-07,313.9365122335628,13.936512233562768,2.700641009460149,6.972385888644965,18.401579492764483,0.19378169833312375,DEFINED,0.0007068583385082237,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
2,d42e6934-f6a8-4d48-ba48-b1bb4e7987b3,0.01,0.6,0.75,0.6681818181818181,12.45,12.448261554491927,7.468956932695157,6.87310110238835,0.0017384455080726724,4.97930462179677,7.468958884273392,-1.1496834586475748e-06,-8.018947763678861e-07,314.11751570787004,14.117515707870025,3.0510629428708835,6.9712938799598305,19.387287952531324,0.21611896922983567,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
3,2bce2dd9-742c-463d-8f85-4499bba8abbd,0.01,0.6,0.85,0.6136363636363636,12.45,12.44840901457281,7.469045408743699,6.921673581402006,0.00159098542718894,4.9793636058291115,7.4690500419756685,-2.9237193709850292e-06,-1.7095125986567975e-06,314.29852284953785,14.29852284953782,3.417479268289981,6.97020552406093,20.37348594832241,0.2390092532111068,DEFINED,0.0007068583385082235,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
4,aa4480aa-2354-4662-9799-bcb43c585476,0.01,0.8,0.65,0.7045454545454544,12.45,12.448162292239203,7.468897375343531,6.840751393963359,0.001837707760795837,4.979264916895673,7.468899392015682,-1.1784986471970504e-06,-8.381735038535631e-07,314.01333842259913,14.013338422599137,2.885870879405788,6.950019221224466,19.3576955863349,0.2059374284968227,DEFINED,0.0007068583385082237,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
5,72abd970-269c-4168-bdd9-b91ade9bfcce,0.01,0.8,0.75,0.6499999999999999,12.45,12.448309752320071,7.4689858513920475,6.88932387297699,0.0016902476799280919,4.979323900928024,7.4689903700245575,-2.3438328540376505e-06,-2.1747996559045715e-06,314.1943453367425,14.194345336742524,3.2457710026377007,6.9489306499855275,20.346014423758163,0.22866648130899825,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
6,53b54279-2806-4f4e-81cd-598cf672d8ab,0.01,0.8,0.85,0.5954545454545453,12.45,12.448457212400957,7.4690743274405635,6.93789635199062,0.0015427875990425832,4.979382884960393,7.4690787223931885,-2.980681553523263e-06,-1.414271071418787e-06,314.3753489278801,14.375348927880106,3.6189037450139696,6.947838745801619,21.334329938804785,0.251743715103522,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
7,d50d387f-500e-4e5f-a5cd-de463a48d346,0.01,1.0,0.65,0.6863636363636363,12.45,12.448210490067353,7.468926294040406,6.8569741645519855,0.0017895099326459274,4.979284196026947,7.468928099722524,-1.0323594993246501e-06,-7.73322618281361e-07,314.0901645354812,14.090164535481236,3.079406468281867,6.927652477961431,20.322636263002153,0.21855007161395743,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
8,ee6aafdd-0e6c-40f6-a758-62b6890b08b9,0.01,1.0,0.75,0.6318181818181817,12.45,12.448357950148207,7.469014770088927,6.9055466435656205,0.0016420498517923932,4.97934318005928,7.469019337467065,-2.969673106618214e-06,-1.5977050313025272e-06,314.2711717784466,14.271171778446615,3.4468504934127275,6.926564221848366,21.312255165897625,0.2415254014823378,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
9,1679d5f8-eb6c-46d6-9135-05a02bf4731d,0.01,1.0,0.85,0.5772727272727273,12.45,12.448505410229092,7.469103246137436,6.954119122579243,0.0014945897709068845,4.979402164091656,7.469107291245139,-3.0003817664897064e-06,-1.0447259365315381e-06,314.4521748650226,14.452174865022599,3.825371704219703,6.925471827311128,22.301980772634522,0.26469176715249504,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
10,e6615e70-fa8c-476d-9905-26a53d01a6aa,0.02,0.6,0.65,0.7227272727272727,12.45,12.437499349950501,7.462499609970305,6.567463419910438,0.012500650049497963,4.974999739980197,7.462503028415784,-1.7177235808482663e-06,-1.7007218987266612e-06,313.73536415617065,13.735364156170673,2.650239206467993,7.18442798240676,18.173335918576925,0.1929500504198399,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
11,c9b20a45-f80c-44f0-8f75-fbdf3329b08b,0.02,0.6,0.75,0.6681818181818181,12.45,12.438444737387464,7.463066842432469,6.634361660589386,0.0115552626125357,4.9753778949549945,7.463066716069208,1.794654357563579e-07,-5.310217456826852e-08,313.91762190217554,13.917621902175538,2.9743887703772893,7.185083517062139,19.143205600726958,0.21371386514763321,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
12,cd45dc59-2370-4c4b-a2ef-d6edeb559032,0.02,0.6,0.85,0.6136363636363636,12.45,12.439390124824403,7.463634074894646,6.701259901268347,0.010609875175596528,4.975756049929757,7.463636424871005,-1.3989183085205744e-06,-9.510580507632264e-07,314.0998872688344,14.099887268834385,3.3111086876881632,7.185746647134977,20.115420987685468,0.23483228089396543,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
13,b9af4572-e5f5-4c95-a13b-7d4f230721b4,0.02,0.8,0.65,0.7045454545454544,12.45,12.437814311681864,7.462688587009122,6.590034814938662,0.01218568831813549,4.975125724672742,7.4626885991450775,1.5689516610278692e-07,-1.6903112145455328e-07,313.8131719716396,13.813171971639557,2.8230998139514925,7.161980053007085,18.96814143512762,0.20437737398388475,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
