case,producer,L_m,p_center_W_each,p_ring1_W_each,p_ring2_W_each,emitted_W,incident_W,absorbed_W,ROI_absorbed_W,optical_not_intercepted_W,unabsorbed_incident_W,bottom_heat_out_W,storage_rate_W,balance_residual_W,ROI_mean_T_K,ROI_mean_rise_K,ROI_std_K,ROI_min_rise_K,ROI_max_rise_K,ROI_CV,ROI_CV_status,ROI_area_m2,dataset,solution,time_s,native_version,physical_validation
14,e69942e8-1f69-4712-99ca-b6f31c9b6dbc,0.02,0.8,0.75,0.6499999999999999,12.45,12.438759699118835,7.463255819471279,6.656933055617604,0.011240300881164345,4.975503879647556,7.463258431488612,-1.406137490298625e-06,-1.2058798427937284e-06,313.99543749474145,13.995437494741466,3.154931014676091,7.162643330651633,19.942604844208518,0.22542568003761937,DEFINED,0.0007068583385082237,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
15,715f7252-9468-465d-bc01-217ef8ebe3d8,0.02,0.8,0.85,0.5954545454545453,12.45,12.439705086555788,7.463823051933476,6.723831296296587,0.010294913444210962,4.9758820346223125,7.463828390062344,-3.2212513088597e-06,-2.116877558966997e-06,314.1777031775288,14.177703177528802,3.4972157934526025,7.163306778558706,20.919537881922565,0.24667012347920894,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
16,c46badff-455e-4db7-8c6a-7da6272926d6,0.02,1.0,0.65,0.6863636363636363,12.45,12.438129273413255,7.4628775640479414,6.61260620996689,0.011870726586744595,4.975251709365313,7.462880402826123,-1.4745233224875527e-06,-1.3642548589256513e-06,313.8909876759243,13.89098767592429,3.0020863920037595,7.139539980027791,19.773724861164737,0.2161175621231702,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
17,d28fdcec-15bd-473b-93c0-d602f4da9b0c,0.02,1.0,0.75,0.6318181818181817,12.45,12.439074660850176,7.463444796510115,6.679504450645849,0.010925339149823188,4.975629864340061,7.463447125381072,-1.3962896753910861e-06,-9.32581282022101e-07,314.0732492630078,14.073249263007833,3.3401641052788578,7.140199347478415,20.750653802477757,0.23734135897518913,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
18,bdd434ea-7d1f-40f1-a314-4aa2f4b0a507,0.02,1.0,0.85,0.5772727272727273,12.45,12.440020048287128,7.46401202897229,6.746402691324809,0.009979951712871582,4.976008019314838,7.464016531281521,-2.318559716920811e-06,-2.1837495142927195e-06,314.2555142462921,14.25551424629209,3.687017936477331,7.140862098833622,21.727586140547317,0.25863801703515094,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
19,9858d444-a210-4924-b68f-e8b7d0c7d9db,0.03,0.6,0.65,0.7227272727272727,12.45,12.40760972299996,7.444565833799966,6.330965509766629,0.042390277000039944,4.9630438891999935,7.444570346158199,-2.994372709011552e-06,-1.517985523832797e-06,313.510891517907,13.510891517907027,2.5829984932084864,7.38960816077406,17.90764247533417,0.19117898251089052,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
20,a46557ac-bf7a-4798-b7dc-a7661548230b,0.03,0.6,0.75,0.6681818181818181,12.45,12.410793514646569,7.4464761087879445,6.412343799216018,0.03920648535343041,4.964317405858624,7.446480045609447,-2.7808733582361325e-06,-1.155948144334221e-06,313.6932147739049,13.69321477390493,2.8786015483141023,7.394924813130672,18.8353293720146,0.2102210179161021,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
21,1d3393df-01c2-433d-a479-6ce233b73fa8,0.03,0.6,0.85,0.6136363636363636,12.45,12.413977306293182,7.448386383775895,6.493722088665381,0.03602269370681732,4.965590922517287,7.448393564680531,-4.320857009598891e-06,-2.860047626651427e-06,313.8755428641346,13.875542864134603,3.1841323047685908,7.4002462876394475,19.767791086773286,0.2294780345494742,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
22,e7e21e65-2c6e-4f98-891b-7a134b28b93d,0.03,0.8,0.65,0.7045454545454544,12.45,12.40867488703717,7.445204932222292,6.359104206760397,0.041325112962828925,4.963469954814879,7.445209246203777,-3.0267746011659728e-06,-1.287206883760926e-06,313.5893745888341,13.589374588834092,2.741997525849979,7.368269309814195,18.57712964515116,0.2017751080394076,DEFINED,0.0007068583385082237,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
23,d62bd8e5-3828-4665-ae66-d0431178109d,0.03,0.8,0.75,0.6499999999999999,12.45,12.411858678683773,7.447115207210266,6.440482496209784,0.038141321316226495,4.964743471473507,7.447122489400302,-4.037209588252344e-06,-3.244980447620926e-06,313.77170232991966,13.771702329919664,3.0436284215903413,7.373590438710664,19.51118860141048,0.22100596924593097,DEFINED,0.0007068583385082237,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
24,4979a621-b7f1-4b58-8315-0aae28b272ae,0.03,0.8,0.85,0.5954545454545453,12.45,12.415042470330386,7.449025482198214,6.52186078565914,0.03495752966961341,4.966016988132172,7.449032248346697,-4.179084297418856e-06,-2.5870641858537603e-06,313.9540256612061,13.954025661206105,3.353607534608179,7.378907163749943,20.447317073453917,0.24033261913310203,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
25,2b0accc4-79a6-4f45-a8dc-7ead0b966c65,0.03,1.0,0.65,0.6863636363636363,12.45,12.409740051074394,7.445844030644625,6.3872429037541725,0.04025994892560547,4.963896020429769,7.445848070069179,-2.9992727655300305e-06,-1.040151788428751e-06,313.66785756334593,13.667857563345908,2.90539806928049,7.3469303632226115,19.2545818833986,0.21257157940188873,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
26,84ac84c0-ce1c-458a-90cb-48db8dbb6429,0.03,1.0,0.75,0.6318181818181817,12.45,12.412923842720977,7.447754305632589,6.46862119320355,0.03707615727902258,4.9651695370883875,7.447761490719293,-4.310940151751043e-06,-2.8741465516363125e-06,313.8501855290127,13.850185529012734,3.212027296445018,7.352251713726162,20.19205807416313,0.23191222166061315,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
27,df37d0f9-cd92-4b54-880f-8fc1bd4a6822,0.03,1.0,0.85,0.5772727272727273,12.45,12.416107634367597,7.44966458062056,6.549999482652929,0.03389236563240239,4.966443053747037,7.449670222539697,-3.127400365492009e-06,-2.5145187717194506e-06,314.0325075603776,14.032507560377622,3.5257320867892274,7.357567149370709,21.129712804461974,0.2512546009057235,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.4 (开发版本: 293),UNVERIFIED
