% x(m) y(m) incident_basis(1/m^2)
-0.025000000000000001 -0.025000000000000001 1.2252891875669662e-26
-0.024500000000000001 -0.025000000000000001 4.8461127445923729e-26
-0.024 -0.025000000000000001 1.8641664637215359e-25
-0.0235 -0.025000000000000001 6.9744848007810334e-25
-0.023 -0.025000000000000001 2.5379077851520863e-24
-0.022500000000000003 -0.025000000000000001 8.9820570285878734e-24
-0.022000000000000002 -0.025000000000000001 3.0918046265437398e-23
-0.021500000000000002 -0.025000000000000001 1.0351053223968178e-22
-0.021000000000000001 -0.025000000000000001 3.3704920340151069e-22
-0.020500000000000001 -0.025000000000000001 1.0674273660654157e-21
-0.02 -0.025000000000000001 3.2879077579508883e-21
-0.0195 -0.025000000000000001 9.8500215684449948e-21
-0.019 -0.025000000000000001 2.8700601746302078e-20
-0.018500000000000003 -0.025000000000000001 8.1335677341515937e-20
-0.018000000000000002 -0.025000000000000001 2.2418545756678208e-19
-0.017500000000000002 -0.025000000000000001 6.0099388272098374e-19
-0.017000000000000001 -0.025000000000000001 1.5669997601861336e-18
-0.016500000000000001 -0.025000000000000001 3.9737823172351544e-18
-0.016 -0.025000000000000001 9.8011148917202324e-18
-0.0155 -0.025000000000000001 2.3511652367080506e-17
-0.015000000000000001 -0.025000000000000001 5.4856372797554296e-17
-0.014500000000000001 -0.025000000000000001 1.2448220952761757e-16
-0.014 -0.025000000000000001 2.7474117619285436e-16
-0.0135 -0.025000000000000001 5.8976158728682647e-16
-0.012999999999999999 -0.025000000000000001 1.23130452651534e-15
-0.012500000000000001 -0.025000000000000001 2.5002920157469462e-15
-0.012 -0.025000000000000001 4.938013312787818e-15
-0.0115 -0.025000000000000001 9.4852775474718971e-15
-0.010999999999999999 -0.025000000000000001 1.7720831433186997e-14
-0.010499999999999999 -0.025000000000000001 3.2199891626471444e-14
-0.010000000000000002 -0.025000000000000001 5.6906383981582965e-14
-0.0095000000000000015 -0.025000000000000001 9.7814634026351022e-14
-0.0090000000000000011 -0.025000000000000001 1.6352454263100809e-13
-0.0085000000000000006 -0.025000000000000001 2.6588774223120178e-13
-0.0080000000000000002 -0.025000000000000001 4.2048446362720513e-13
-0.0074999999999999997 -0.025000000000000001 6.4675211218613368e-13
-0.0069999999999999993 -0.025000000000000001 9.6752461330120211e-13
-0.0064999999999999988 -0.025000000000000001 1.4077400057850443e-12
-0.0059999999999999984 -0.025000000000000001 1.9921367530290536e-12
-0.0054999999999999979 -0.025000000000000001 2.7419031302220308e-12
-0.005000000000000001 -0.025000000000000001 3.6704670627965101e-12
-0.0044999999999999971 -0.025000000000000001 4.7788876390452306e-12
-0.0040000000000000001 -0.025000000000000001 6.0515771198368722e-12
-0.0035000000000000031 -0.025000000000000001 7.4532654542775226e-12
-0.0029999999999999992 -0.025000000000000001 8.9281375126690701e-12
-0.0025000000000000022 -0.025000000000000001 1.0401869875454651e-11
-0.0019999999999999983 -0.025000000000000001 1.178686275837386e-11
-0.0015000000000000013 -0.025000000000000001 1.2990363429464199e-11
-0.00099999999999999742 -0.025000000000000001 1.3924533054623216e-11
-0.00050000000000000044 -0.025000000000000001 1.4516978842313138e-11
0 -0.025000000000000001 1.4720010224873229e-11
0.00050000000000000044 -0.025000000000000001 1.4516978842313138e-11
0.0010000000000000009 -0.025000000000000001 1.3924533054623216e-11
0.0015000000000000013 -0.025000000000000001 1.2990363429464199e-11
0.0020000000000000018 -0.025000000000000001 1.178686275837386e-11
0.0024999999999999988 -0.025000000000000001 1.0401869875454651e-11
0.0030000000000000027 -0.025000000000000001 8.9281375126690701e-12
0.0034999999999999996 -0.025000000000000001 7.4532654542775226e-12
0.0040000000000000036 -0.025000000000000001 6.0515771198368294e-12
0.0045000000000000005 -0.025000000000000001 4.7788876390452306e-12
0.0049999999999999975 -0.025000000000000001 3.6704670627965359e-12
0.0055000000000000014 -0.025000000000000001 2.7419031302220308e-12
0.0059999999999999984 -0.025000000000000001 1.9921367530290536e-12
0.0064999999999999988 -0.025000000000000001 1.4077400057850443e-12
0.0069999999999999993 -0.025000000000000001 9.6752461330120211e-13
0.0074999999999999997 -0.025000000000000001 6.4675211218613368e-13
0.0080000000000000002 -0.025000000000000001 4.2048446362720513e-13
0.0085000000000000006 -0.025000000000000001 2.6588774223120178e-13
0.0090000000000000011 -0.025000000000000001 1.6352454263100809e-13
0.0095000000000000015 -0.025000000000000001 9.7814634026351022e-14
0.010000000000000002 -0.025000000000000001 5.6906383981582965e-14
0.010500000000000002 -0.025000000000000001 3.2199891626471217e-14
0.011000000000000003 -0.025000000000000001 1.7720831433186997e-14
0.011500000000000003 -0.025000000000000001 9.4852775474718308e-15
0.012000000000000004 -0.025000000000000001 4.938013312787818e-15
0.012499999999999997 -0.025000000000000001 2.5002920157469636e-15
0.013000000000000005 -0.025000000000000001 1.2313045265153313e-15
0.013499999999999998 -0.025000000000000001 5.8976158728683071e-16
0.014000000000000005 -0.025000000000000001 2.7474117619285047e-16
0.014499999999999999 -0.025000000000000001 1.2448220952761843e-16
0.014999999999999999 -0.025000000000000001 5.485637279755469e-17
0.0155 -0.025000000000000001 2.3511652367080506e-17
0.016000000000000007 -0.025000000000000001 9.8011148917200229e-18
0.016500000000000001 -0.025000000000000001 3.9737823172351544e-18
0.017000000000000001 -0.025000000000000001 1.5669997601861336e-18
0.017500000000000002 -0.025000000000000001 6.0099388272098374e-19
0.017999999999999995 -0.025000000000000001 2.2418545756678367e-19
0.018500000000000003 -0.025000000000000001 8.1335677341515937e-20
0.019000000000000003 -0.025000000000000001 2.8700601746301874e-20
0.019500000000000003 -0.025000000000000001 9.8500215684448549e-21
0.019999999999999997 -0.025000000000000001 3.2879077579509349e-21
0.020499999999999997 -0.025000000000000001 1.0674273660654232e-21
0.021000000000000005 -0.025000000000000001 3.3704920340150829e-22
0.021500000000000005 -0.025000000000000001 1.0351053223968105e-22
0.021999999999999999 -0.025000000000000001 3.0918046265437398e-23
0.022499999999999999 -0.025000000000000001 8.9820570285879366e-24
0.023000000000000007 -0.025000000000000001 2.5379077851520143e-24
0.023500000000000007 -0.025000000000000001 6.9744848007809342e-25
0.024 -0.025000000000000001 1.8641664637215359e-25
0.024500000000000001 -0.025000000000000001 4.8461127445923729e-26
0.025000000000000001 -0.025000000000000001 1.2252891875669662e-26
-0.025000000000000001 -0.024500000000000001 4.8461127445923729e-26
-0.024500000000000001 -0.024500000000000001 1.9166747712786046e-25
-0.024 -0.024500000000000001 7.3729213883142125e-25
-0.0235 -0.024500000000000001 2.7584622489932424e-24
-0.023 -0.024500000000000001 1.0037620005973935e-23
-0.022500000000000003 -0.024500000000000001 3.5524724677713057e-23
-0.022000000000000002 -0.024500000000000001 1.2228324510261382e-22
-0.021500000000000002 -0.024500000000000001 4.0939209663828831e-22
-0.021000000000000001 -0.024500000000000001 1.3330554588522474e-21
-0.020500000000000001 -0.024500000000000001 4.2217571289337469e-21
-0.02 -0.024500000000000001 1.3003927440581635e-20
-0.0195 -0.024500000000000001 3.8957591025622436e-20
-0.019 -0.024500000000000001 1.1351308190061382e-19
-0.018500000000000003 -0.024500000000000001 3.2168884419640831e-19
-0.018000000000000002 -0.024500000000000001 8.8667068483967871e-19
-0.017500000000000002 -0.024500000000000001 2.3769769161674221e-18
-0.017000000000000001 -0.024500000000000001 6.1976042763343039e-18
-0.016500000000000001 -0.024500000000000001 1.571661394485015e-17
-0.016 -0.024500000000000001 3.8764161366912924e-17
-0.0155 -0.024500000000000001 9.2990388994440594e-17
-0.015000000000000001 -0.024500000000000001 2.1696116315546052e-16
-0.014500000000000001 -0.024500000000000001 4.9233668932040228e-16
-0.014 -0.024500000000000001 1.0866224307881794e-15
-0.0135 -0.024500000000000001 2.3325523259508196e-15
-0.012999999999999999 -0.024500000000000001 4.8699038716475634e-15
-0.012500000000000001 -0.024500000000000001 9.8888467519849164e-15
-0.012 -0.024500000000000001 1.9530221510879024e-14
-0.0115 -0.024500000000000001 3.751500043844728e-14
-0.010999999999999999 -0.024500000000000001 7.0087247912197192e-14
-0.010499999999999999 -0.024500000000000001 1.2735304185242243e-13
-0.010000000000000002 -0.024500000000000001 2.2506911467113922e-13
-0.0095000000000000015 -0.024500000000000001 3.8686438219861595e-13
-0.0090000000000000011 -0.024500000000000001 6.4675211218613368e-13
-0.0085000000000000006 -0.024500000000000001 1.0516064202085403e-12
-0.0080000000000000002 -0.024500000000000001 1.663048314441703e-12
-0.0074999999999999997 -0.024500000000000001 2.5579542244070945e-12
-0.0069999999999999993 -0.024500000000000001 3.8266340769203177e-12
-0.0064999999999999988 -0.024500000000000001 5.5677197288045076e-12
-0.0059999999999999984 -0.024500000000000001 7.8790537007797883e-12
-0.0054999999999999979 -0.024500000000000001 1.0844437246844299e-11
-0.005000000000000001 -0.024500000000000001 1.4516978842313138e-11
-0.0044999999999999971 -0.024500000000000001 1.8900867262640666e-11
-0.0040000000000000001 -0.024500000000000001 2.3934451803625561e-11
-0.0035000000000000031 -0.024500000000000001 2.9478236707961295e-11
-0.0029999999999999992 -0.024500000000000001 3.5311468855391458e-11
-0.0025000000000000022 -0.024500000000000001 4.1140193419259454e-11
-0.0019999999999999983 -0.024500000000000001 4.6617946531903881e-11
-0.0015000000000000013 -0.024500000000000001 5.1377884022152945e-11
-0.00099999999999999742 -0.024500000000000001 5.5072596561878448e-11
-0.00050000000000000044 -0.024500000000000001 5.7415765106363606e-11
0 -0.024500000000000001 5.8218769801549e-11
0.00050000000000000044 -0.024500000000000001 5.7415765106363606e-11
0.0010000000000000009 -0.024500000000000001 5.5072596561878448e-11
0.0015000000000000013 -0.024500000000000001 5.1377884022152945e-11
0.0020000000000000018 -0.024500000000000001 4.6617946531903881e-11
0.0024999999999999988 -0.024500000000000001 4.1140193419259454e-11
0.0030000000000000027 -0.024500000000000001 3.5311468855391458e-11
0.0034999999999999996 -0.024500000000000001 2.9478236707961295e-11
0.0040000000000000036 -0.024500000000000001 2.393445180362539e-11
0.0045000000000000005 -0.024500000000000001 1.8900867262640666e-11
0.0049999999999999975 -0.024500000000000001 1.451697884231324e-11
0.0055000000000000014 -0.024500000000000001 1.0844437246844299e-11
0.0059999999999999984 -0.024500000000000001 7.8790537007797883e-12
0.0064999999999999988 -0.024500000000000001 5.5677197288045076e-12
0.0069999999999999993 -0.024500000000000001 3.8266340769203177e-12
0.0074999999999999997 -0.024500000000000001 2.5579542244070945e-12
0.0080000000000000002 -0.024500000000000001 1.663048314441703e-12
0.0085000000000000006 -0.024500000000000001 1.0516064202085403e-12
0.0090000000000000011 -0.024500000000000001 6.4675211218613368e-13
0.0095000000000000015 -0.024500000000000001 3.8686438219861595e-13
0.010000000000000002 -0.024500000000000001 2.2506911467113922e-13
0.010500000000000002 -0.024500000000000001 1.2735304185242243e-13
0.011000000000000003 -0.024500000000000001 7.0087247912197192e-14
0.011500000000000003 -0.024500000000000001 3.7515000438447015e-14
0.012000000000000004 -0.024500000000000001 1.9530221510879024e-14
0.012499999999999997 -0.024500000000000001 9.8888467519849858e-15
0.013000000000000005 -0.024500000000000001 4.8699038716475295e-15
0.013499999999999998 -0.024500000000000001 2.3325523259508361e-15
0.014000000000000005 -0.024500000000000001 1.086622430788164e-15
0.014499999999999999 -0.024500000000000001 4.9233668932040573e-16
0.014999999999999999 -0.024500000000000001 2.1696116315546208e-16
0.0155 -0.024500000000000001 9.2990388994440594e-17
0.016000000000000007 -0.024500000000000001 3.8764161366912092e-17
0.016500000000000001 -0.024500000000000001 1.571661394485015e-17
0.017000000000000001 -0.024500000000000001 6.1976042763343039e-18
0.017500000000000002 -0.024500000000000001 2.3769769161674221e-18
0.017999999999999995 -0.024500000000000001 8.8667068483969123e-19
0.018500000000000003 -0.024500000000000001 3.2168884419640831e-19
0.019000000000000003 -0.024500000000000001 1.1351308190061303e-19
0.019500000000000003 -0.024500000000000001 3.8957591025621876e-20
0.019999999999999997 -0.024500000000000001 1.3003927440581726e-20
0.020499999999999997 -0.024500000000000001 4.221757128933807e-21
0.021000000000000005 -0.024500000000000001 1.3330554588522283e-21
0.021500000000000005 -0.024500000000000001 4.0939209663828243e-22
0.021999999999999999 -0.024500000000000001 1.2228324510261382e-22
0.022499999999999999 -0.024500000000000001 3.5524724677713563e-23
0.023000000000000007 -0.024500000000000001 1.003762000597372e-23
0.023500000000000007 -0.024500000000000001 2.7584622489932035e-24
0.024 -0.024500000000000001 7.3729213883142125e-25
0.024500000000000001 -0.024500000000000001 1.9166747712786046e-25
0.025000000000000001 -0.024500000000000001 4.8461127445923729e-26
-0.025000000000000001 -0.024 1.8641664637215359e-25
-0.024500000000000001 -0.024 7.3729213883142125e-25
-0.024 -0.024 2.8361603446158942e-24
-0.0235 -0.024 1.0611046599675547e-23
-0.023 -0.024 3.8611967110333423e-23
-0.022500000000000003 -0.024 1.366538581898055e-22
-0.022000000000000002 -0.024 4.7039005613251473e-22
-0.021500000000000002 -0.024 1.5748189472424903e-21
-0.021000000000000001 -0.024 5.1278981972638248e-21
-0.020500000000000001 -0.024 1.6239940076750187e-20
-0.02 -0.024 5.0022537049825109e-20
-0.0195 -0.024 1.4985915211812215e-19
-0.019 -0.024 4.3665364721224209e-19
-0.018500000000000003 -0.024 1.2374486247218507e-18
-0.018000000000000002 -0.024 3.4107785810133241e-18
-0.017500000000000002 -0.024 9.1435773076144011e-18
-0.017000000000000001 -0.024 2.384048134301363e-17
-0.016500000000000001 -0.024 6.0457496932858283e-17
-0.016 -0.024 1.4911508135076798e-16
-0.0155 -0.024 3.5770848461025126e-16
-0.015000000000000001 -0.024 8.3459000151356594e-16
-0.014500000000000001 -0.024 1.8938840127376826e-15
-0.014 -0.024 4.1799380265414873e-15
-0.0135 -0.024 8.9726881112398344e-15
-0.012999999999999999 -0.024 1.8733182568241445e-14
-0.012500000000000001 -0.024 3.8039677266077542e-14
-0.012 -0.024 7.5127397748349363e-14
-0.0115 -0.024 1.4430990236842826e-13
-0.010999999999999999 -0.024 2.6960639171725483e-13
-0.010499999999999999 -0.024 4.8989217169808199e-13
-0.010000000000000002 -0.024 8.657790639675385e-13
-0.0095000000000000015 -0.024 1.4881610175243087e-12
-0.0090000000000000011 -0.024 2.4878777309170325e-12
-0.0085000000000000006 -0.024 4.0452410517574511e-12
-0.0080000000000000002 -0.024 6.3972900729358101e-12
-0.0074999999999999997 -0.024 9.839747303022419e-12
-0.0069999999999999993 -0.024 1.4720010224873335e-11
-0.0064999999999999988 -0.024 2.1417488500282841e-11
-0.0059999999999999984 -0.024 3.0308555431865411e-11
-0.0054999999999999979 -0.024 4.1715571425897851e-11
-0.005000000000000001 -0.024 5.5842830199510209e-11
-0.0044999999999999971 -0.024 7.2706444821334219e-11
-0.0040000000000000001 -0.024 9.2069261966027963e-11
-0.0035000000000000031 -0.024 1.133946797708035e-10
-0.0029999999999999992 -0.024 1.358335216167266e-10
-0.0025000000000000022 -0.024 1.5825502402679199e-10
-0.0019999999999999983 -0.024 1.7932643566601277e-10
-0.0015000000000000013 -0.024 1.9763660776969307e-10
-0.00099999999999999742 -0.024 2.1184915207612507e-10
-0.00050000000000000044 -0.024 2.2086267786408751e-10
0 -0.024 2.2395161636360281e-10
0.00050000000000000044 -0.024 2.2086267786408751e-10
0.0010000000000000009 -0.024 2.1184915207612507e-10
0.0015000000000000013 -0.024 1.9763660776969307e-10
0.0020000000000000018 -0.024 1.7932643566601277e-10
0.0024999999999999988 -0.024 1.5825502402679199e-10
0.0030000000000000027 -0.024 1.358335216167266e-10
0.0034999999999999996 -0.024 1.133946797708035e-10
0.0040000000000000036 -0.024 9.2069261966027316e-11
0.0045000000000000005 -0.024 7.2706444821334219e-11
0.0049999999999999975 -0.024 5.5842830199510209e-11
0.0055000000000000014 -0.024 4.1715571425897851e-11
0.0059999999999999984 -0.024 3.0308555431865411e-11
0.0064999999999999988 -0.024 2.1417488500282841e-11
0.0069999999999999993 -0.024 1.4720010224873335e-11
0.0074999999999999997 -0.024 9.839747303022419e-12
0.0080000000000000002 -0.024 6.3972900729358101e-12
0.0085000000000000006 -0.024 4.0452410517574511e-12
0.0090000000000000011 -0.024 2.4878777309170325e-12
0.0095000000000000015 -0.024 1.4881610175243087e-12
0.010000000000000002 -0.024 8.657790639675385e-13
0.010500000000000002 -0.024 4.8989217169808199e-13
0.011000000000000003 -0.024 2.6960639171725291e-13
0.011500000000000003 -0.024 1.4430990236842725e-13
0.012000000000000004 -0.024 7.5127397748348833e-14
0.012499999999999997 -0.024 3.8039677266077813e-14
0.013000000000000005 -0.024 1.8733182568241313e-14
0.013499999999999998 -0.024 8.9726881112398344e-15
0.014000000000000005 -0.024 4.1799380265414581e-15
0.014499999999999999 -0.024 1.893884012737696e-15
0.014999999999999999 -0.024 8.3459000151356594e-16
0.0155 -0.024 3.5770848461025126e-16
0.016000000000000007 -0.024 1.4911508135076588e-16
0.016500000000000001 -0.024 6.0457496932858283e-17
0.017000000000000001 -0.024 2.384048134301363e-17
0.017500000000000002 -0.024 9.1435773076144011e-18
0.017999999999999995 -0.024 3.410778581013348e-18
0.018500000000000003 -0.024 1.2374486247218507e-18
0.019000000000000003 -0.024 4.3665364721224209e-19
0.019500000000000003 -0.024 1.4985915211812215e-19
