x_m,y_m,incident_W_m2,absorbed_W_m2
-0.025000000000000001,-0.025000000000000001,3.8668197215993779e-16,2.3200918329596267e-16
-0.024500000000000001,-0.025000000000000001,1.4762575928564765e-15,8.857545557138858e-16
-0.024,-0.025000000000000001,5.5787700266440789e-15,3.3472620159864472e-15
-0.0235,-0.025000000000000001,2.0815204451066174e-14,1.2489122670639704e-14
-0.023,-0.025000000000000001,7.6403205300435219e-14,4.5841923180261133e-14
-0.022500000000000003,-0.025000000000000001,2.747612972185776e-13,1.6485677833114654e-13
-0.022000000000000002,-0.025000000000000001,9.6421774290505138e-13,5.7853064574303083e-13
-0.021500000000000002,-0.025000000000000001,3.2902072899086841e-12,1.9741243739452104e-12
-0.021000000000000001,-0.025000000000000001,1.088457994134249e-11,6.5307479648054936e-12
-0.020500000000000001,-0.025000000000000001,3.4827139945007942e-11,2.0896283967004764e-11
-0.02,-0.025000000000000001,1.0758647246266178e-10,6.4551883477597071e-11
-0.0195,-0.025000000000000001,3.204386570173336e-10,1.9226319421040015e-10
-0.019,-0.025000000000000001,9.1928202769221293e-10,5.5156921661532772e-10
-0.018500000000000003,-0.025000000000000001,2.5383814883505641e-09,1.5230288930103384e-09
-0.018000000000000002,-0.025000000000000001,6.7428718276768719e-09,4.0457230966061232e-09
-0.017500000000000002,-0.025000000000000001,1.722474944559855e-08,1.033484966735913e-08
-0.017000000000000001,-0.025000000000000001,4.230267841095223e-08,2.5381607046571336e-08
-0.016500000000000001,-0.025000000000000001,9.9864402190653566e-08,5.9918641314392137e-08
-0.016,-0.025000000000000001,2.265829865261043e-07,1.3594979191566258e-07
-0.0155,-0.025000000000000001,4.9406295581707682e-07,2.9643777349024609e-07
-0.015000000000000001,-0.025000000000000001,1.0352743162688178e-06,6.2116458976129072e-07
-0.014500000000000001,-0.025000000000000001,2.084683035077524e-06,1.2508098210465143e-06
-0.014,-0.025000000000000001,4.0340713253366567e-06,2.4204427952019941e-06
-0.0135,-0.025000000000000001,7.5022422987950444e-06,4.5013453792770263e-06
-0.012999999999999999,-0.025000000000000001,1.3410100269193626e-05,8.0460601615161757e-06
-0.012500000000000001,-0.025000000000000001,2.3043712401853257e-05,1.3826227441111954e-05
-0.012,-0.025000000000000001,3.8079848919993247e-05,2.2847909351995949e-05
-0.0115,-0.025000000000000001,6.0546983498739405e-05,3.632819009924364e-05
-0.010999999999999999,-0.025000000000000001,9.2707934366395431e-05,5.5624760619837258e-05
-0.010499999999999999,-0.025000000000000001,0.00013688617764295033,8.2131706585770203e-05
-0.010000000000000002,-0.025000000000000001,0.00019531947032823917,0.00011719168219694349
-0.0095000000000000015,-0.025000000000000001,0.00027020410517146118,0.00016212246310287672
-0.0090000000000000011,-0.025000000000000001,0.0003641673893708687,0.00021850043362252122
-0.0085000000000000006,-0.025000000000000001,0.00048143452821170814,0.00028886071692702485
-0.0080000000000000002,-0.025000000000000001,0.00062988831154986631,0.00037793298692991977
-0.0074999999999999997,-0.025000000000000001,0.00082401029022801135,0.00049440617413680683
-0.0069999999999999993,-0.025000000000000001,0.0010883240850016113,0.00065299445100096677
-0.0064999999999999988,-0.025000000000000001,0.0014604755231737863,0.0008762853139042718
-0.0059999999999999984,-0.025000000000000001,0.0019925992475844632,0.0011955595485506779
-0.0054999999999999979,-0.025000000000000001,0.0027493350824517411,0.0016496010494710446
-0.005000000000000001,-0.025000000000000001,0.0038010099670071794,0.0022806059802043077
-0.0044999999999999971,-0.025000000000000001,0.0052112922514211081,0.0031267753508526647
