x_m,y_m,incident_W_m2,absorbed_W_m2
-0.025000000000000001,-0.025000000000000001,3.1847215084724145e-10,1.9108329050834485e-10
-0.024500000000000001,-0.025000000000000001,8.0482012670195633e-10,4.8289207602117382e-10
-0.024,-0.025000000000000001,2.0073236454848685e-09,1.2043941872909211e-09
-0.0235,-0.025000000000000001,4.938044434064216e-09,2.9628266604385296e-09
-0.023,-0.025000000000000001,1.196992182336695e-08,7.1819530940201692e-09
-0.022500000000000003,-0.025000000000000001,2.8556185617738508e-08,1.7133711370643106e-08
-0.022000000000000002,-0.025000000000000001,6.6956997912803452e-08,4.0174198747682067e-08
-0.021500000000000002,-0.025000000000000001,1.540907319248221e-07,9.2454439154893255e-08
-0.021000000000000001,-0.025000000000000001,3.4758257466997915e-07,2.0854954480198748e-07
-0.020500000000000001,-0.025000000000000001,7.6753694315917489e-07,4.605221658955049e-07
-0.02,-0.025000000000000001,1.6573583027787426e-06,9.9441498166724553e-07
-0.0195,-0.025000000000000001,3.4961386963706363e-06,2.0976832178223816e-06
-0.019,-0.025000000000000001,7.1987776487909905e-06,4.3192665892745938e-06
-0.018500000000000003,-0.025000000000000001,1.4458700070456905e-05,8.6752200422741431e-06
-0.018000000000000002,-0.025000000000000001,2.8311101258183909e-05,1.6986660754910344e-05
-0.017500000000000002,-0.025000000000000001,5.4018897124149271e-05,3.2411338274489561e-05
-0.017000000000000001,-0.025000000000000001,0.00010040194959425469,6.024116975655281e-05
-0.016500000000000001,-0.025000000000000001,0.0001817307455894442,0.00010903844735366652
-0.016,-0.025000000000000001,0.00032027200299925067,0.0001921632017995504
-0.0155,-0.025000000000000001,0.00054948734768170166,0.000329692408609021
-0.015000000000000001,-0.025000000000000001,0.00091773367775348138,0.00055064020665208881
-0.014500000000000001,-0.025000000000000001,0.0014920967760219416,0.00089525806561316498
-0.014,-0.025000000000000001,0.0023617380052557077,0.0014170428031534245
-0.0135,-0.025000000000000001,0.0036399166786812501,0.0021839500072087501
-0.012999999999999999,-0.025000000000000001,0.0054637786349572134,0.003278267180974328
-0.012500000000000001,-0.025000000000000001,0.0079912118812157998,0.0047947271287294797
-0.012,-0.025000000000000001,0.01139468791056988,0.0068368127463419278
-0.0115,-0.025000000000000001,0.015853083048470443,0.0095118498290822657
-0.010999999999999999,-0.025000000000000001,0.021543910014199454,0.012926346008519671
-0.010499999999999999,-0.025000000000000001,0.028639878331454229,0.017183926998872535
-0.010000000000000002,-0.025000000000000001,0.037314713421987798,0.022388828053192679
-0.0095000000000000015,-0.025000000000000001,0.047763016403916829,0.028657809842350095
-0.0090000000000000011,-0.025000000000000001,0.060236979353290344,0.036142187611974207
-0.0085000000000000006,-0.025000000000000001,0.075098607372650283,0.045059164423590169
-0.0080000000000000002,-0.025000000000000001,0.092879940020651461,0.055727964012390878
-0.0074999999999999997,-0.025000000000000001,0.11433661392559066,0.068601968355354398
-0.0069999999999999993,-0.025000000000000001,0.14047380767926426,0.08428428460755856
-0.0064999999999999988,-0.025000000000000001,0.17252058436151876,0.10351235061691126
-0.0059999999999999984,-0.025000000000000001,0.21183132378633751,0.12709879427180251
-0.0054999999999999979,-0.025000000000000001,0.25970291834943104,0.15582175100965862
-0.005000000000000001,-0.025000000000000001,0.31711360240579461,0.19026816144347677
-0.0044999999999999971,-0.025000000000000001,0.38441130643948057,0.23064678386368834
-0.0040000000000000001,-0.025000000000000001,0.46100156568952727,0.27660093941371633
-0.0035000000000000031,-0.025000000000000001,0.54510101658203058,0.32706060994921832
-0.0029999999999999992,-0.025000000000000001,0.63362614048905996,0.38017568429343596
-0.0025000000000000022,-0.025000000000000001,0.72227393300299791,0.43336435980179872
-0.0019999999999999983,-0.025000000000000001,0.80582122774874998,0.48349273664924997
-0.0015000000000000013,-0.025000000000000001,0.87862699689012513,0.52717619813407501
-0.00099999999999999742,-0.025000000000000001,0.93527605020061144,0.5611656301203668
-0.00050000000000000044,-0.025000000000000001,0.97126459817517841,0.58275875890510698
0,-0.025000000000000001,0.98360891400248274,0.5901653484014896
0.00050000000000000044,-0.025000000000000001,0.97126459817517397,0.58275875890510431
0.0010000000000000009,-0.025000000000000001,0.93527605020060089,0.56116563012036047
0.0015000000000000013,-0.025000000000000001,0.87862699689010482,0.52717619813406291
0.0020000000000000018,-0.025000000000000001,0.80582122774871212,0.48349273664922726
0.0024999999999999988,-0.025000000000000001,0.72227393300293341,0.43336435980176002
0.0030000000000000027,-0.025000000000000001,0.63362614048895216,0.38017568429337129
0.0034999999999999996,-0.025000000000000001,0.54510101658185806,0.32706060994911484
0.0040000000000000036,-0.025000000000000001,0.46100156568925227,0.27660093941355135
0.0045000000000000005,-0.025000000000000001,0.38441130643905908,0.23064678386343543
0.0049999999999999975,-0.025000000000000001,0.31711360240516573,0.19026816144309944
0.0055000000000000014,-0.025000000000000001,0.25970291834851511,0.15582175100910906
0.0059999999999999984,-0.025000000000000001,0.21183132378504263,0.12709879427102558
0.0064999999999999988,-0.025000000000000001,0.17252058435973663,0.10351235061584198
0.0069999999999999993,-0.025000000000000001,0.14047380767687864,0.084284284606127177
0.0074999999999999997,-0.025000000000000001,0.11433661392248461,0.068601968353490764
0.0080000000000000002,-0.025000000000000001,0.092879940016718343,0.055727964010031002
